PromptID,Market,Persona,Subject,Category,Prompt,Model 1,Model 2,Model 3,Organisation,ExpertiseArea,Intent,Platform,PromptSource,PersonaTemplateID,GenerationMethod
UOS-0066,UK,Prospective Student (Postgraduate),General,Research & Innovation,Which universities have the strongest research environment?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0067,UK,Prospective Student (Postgraduate),General,Research & Innovation,Which universities provide the best research facilities?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0068,UK,Prospective Student (Postgraduate),General,Research & Innovation,Which universities offer the best opportunities to work alongside leading academics?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0069,UK,Prospective Student (Postgraduate),General,Research & Innovation,Which universities have the strongest research culture?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0070,UK,Prospective Student (Postgraduate),General,Research & Innovation,Which universities provide the best opportunities to develop research experience?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0071,UK,Prospective Student (Postgraduate),General,Research & Innovation,Which universities have the strongest links with industry and research partners?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0072,UK,Prospective Student (Postgraduate),General,Careers & Employability,Which universities have the best postgraduate employment outcomes?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0073,UK,Prospective Student (Postgraduate),General,Careers & Employability,Which universities are most respected by employers for postgraduate qualifications?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0074,UK,Prospective Student (Postgraduate),General,Careers & Employability,Which universities provide the strongest postgraduate careers support?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0075,UK,Prospective Student (Postgraduate),General,Careers & Employability,Which universities have the best employer connections?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0076,UK,Prospective Student (Postgraduate),General,Careers & Employability,Which universities are best for career progression after postgraduate study?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0077,UK,Prospective Student (Postgraduate),General,Careers & Employability,Which universities provide the strongest professional networking opportunities?,OpenAI,Anthropic,Gemini,University of Southampton,Careers & Employability,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0078,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities offer the best postgraduate student experience?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0079,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities have the most active postgraduate communities?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0080,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities make it easy to meet other postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0081,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities offer the best balance between study and personal life?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0082,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities provide the widest range of opportunities beyond the classroom?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0083,UK,Prospective Student (Postgraduate),General,Location,Which university cities are best for postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0084,UK,Prospective Student (Postgraduate),General,Location,Which universities are located in affordable cities for postgraduate study?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0085,UK,Prospective Student (Postgraduate),General,Location,Which universities are best for commuting students?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0086,UK,Prospective Student (Postgraduate),General,Location,Which universities are located in cities with strong professional opportunities?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0087,UK,Prospective Student (Postgraduate),General,Location,Which universities have the best transport links?,OpenAI,Anthropic,Gemini,University of Southampton,Location,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0088,UK,Prospective Student (Postgraduate),General,Facilities,Which universities offer the best accommodation for postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0089,UK,Prospective Student (Postgraduate),General,Facilities,Which universities provide the best value for money for postgraduate study?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0090,UK,Prospective Student (Postgraduate),General,Facilities,Which universities have the lowest living costs?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0091,UK,Prospective Student (Postgraduate),General,Facilities,Which universities offer the most generous postgraduate funding?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0092,UK,Prospective Student (Postgraduate),General,Facilities,Which universities provide the best financial support for postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Facilities,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0093,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities are known for excellent postgraduate wellbeing support?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0094,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities provide the strongest support services for postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0095,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities are particularly supportive of international and mature students?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0096,UK,Prospective Student (Postgraduate),General,Student Experience,Which universities have the best overall support for postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Student Experience,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0097,UK,Prospective Student (Postgraduate),General,Reputation,Which universities have the happiest postgraduate students?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0098,UK,Prospective Student (Postgraduate),General,Reputation,Which universities receive the best reviews from postgraduate alumni?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0099,UK,Prospective Student (Postgraduate),General,Reputation,Which universities offer the best all-round postgraduate experience?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0100,UK,Prospective Student (Postgraduate),General,Reputation,Which universities would you most recommend for postgraduate study and why?,OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0101,UK,Prospective Student (Postgraduate),General,Reputation,"If you could recommend five UK universities for postgraduate study, which would you choose and why?",OpenAI,Anthropic,Gemini,University of Southampton,Reputation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0102,UK,Research Professional,General,Research Impact,Which UK universities have the strongest overall research reputation?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0103,UK,Research Professional,General,Research Impact,Which universities consistently produce world-leading research?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0104,UK,Research Professional,General,Research Impact,Which universities are recognised as leaders in research excellence?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0105,UK,Research Professional,General,Research Impact,Which universities have the strongest international research reputation?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0106,UK,Research Professional,General,Research Impact,Which universities are known for delivering high-impact research?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0107,UK,Research Professional,General,Research Impact,Which universities have the best balance of research quality and collaboration opportunities?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0108,UK,Research Professional,General,Research Impact,Which universities have the strongest track record of research innovation?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0109,UK,Research Professional,General,Research Impact,Which universities are regarded as the UK's leading research institutions?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0110,UK,Research Professional,General,Research Impact,Which universities have the most influential research communities?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0111,UK,Research Professional,General,Research Impact,Which universities would you recommend as the UK's top research universities?,OpenAI,Anthropic,Gemini,University of Southampton,Research Impact,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0112,UK,Research Professional,General,Research & Innovation,Which universities provide the best research environment for academics?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0113,UK,Research Professional,General,Research & Innovation,Which universities offer the strongest research infrastructure?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0114,UK,Research Professional,General,Research & Innovation,"Which universities have the best laboratories, facilities and research resources?",OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0115,UK,Research Professional,General,Research & Innovation,Which universities provide the most supportive environment for research staff?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0116,UK,Research Professional,General,Research & Innovation,Which universities encourage interdisciplinary research most effectively?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0117,UK,Research Professional,General,Research & Innovation,Which universities have the strongest research culture?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0118,UK,Research Professional,General,Research & Innovation,Which universities provide the best opportunities for collaborative research?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0119,UK,Research Professional,General,Research & Innovation,Which universities invest the most in research capability?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0120,UK,Research Professional,General,Research & Innovation,Which universities are best equipped for large-scale research projects?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0121,UK,Research Professional,General,Research & Innovation,Which universities have the strongest ecosystem for innovation and discovery?,OpenAI,Anthropic,Gemini,University of Southampton,Research & Innovation,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0122,UK,Research Professional,General,Collaboration & Partnerships,Which universities are the best research partners for external organisations?,OpenAI,Anthropic,Gemini,University of Southampton,Collaboration & Partnerships,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0123,UK,Research Professional,General,Collaboration & Partnerships,Which universities have the strongest track record of industry collaboration?,OpenAI,Anthropic,Gemini,University of Southampton,Collaboration & Partnerships,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
UOS-0124,UK,Research Professional,General,Collaboration & Partnerships,Which universities are most open to collaborative research partnerships?,OpenAI,Anthropic,Gemini,University of Southampton,Collaboration & Partnerships,,OpenRouter,generated,uos_prompt_library,uos_prompt_library_v1
