PromptID,Organisation,Market,Persona,Subject,ExpertiseArea,Intent,Platform,Prompt,PromptSource,PersonaTemplateID,GenerationMethod
CE-0031,Corona Energy,UK Public Sector,Public Sector Procurement Lead,Public Sector Standing,Public Sector Reputation,Sector Reputation,OpenRouter,Which energy suppliers have the strongest reputation for serving UK public-sector organisations?,generated,corona_public_sector_procurement_lead,corona_reputation_v2
CE-0032,Corona Energy,UK Public Sector,Public Sector Energy Manager,Public Sector Standing,Public Sector Reputation,Brand Reputation,OpenRouter,How is Corona Energy perceived as an energy supplier to the UK public sector?,generated,corona_public_sector_energy_manager,corona_reputation_v2
CE-0033,Corona Energy,UK Public Sector,Commercial Director,Public Sector Standing,Public Sector Reputation,Framework Credibility,OpenRouter,Which suppliers are viewed as credible for complex public-sector gas and electricity frameworks?,generated,corona_commercial_director,corona_reputation_v2
CE-0034,Corona Energy,UK Public Sector,Public Sector Procurement Lead,Public Sector Standing,Public Sector Reputation,Decision Criteria,OpenRouter,"What reputation factors most influence public-sector energy tenders, and which suppliers perform strongly against them?",generated,corona_public_sector_procurement_lead,corona_reputation_v2
CE-0035,Corona Energy,UK Public Sector,Sustainability Lead,Public Sector Standing,Public Sector Reputation,Sustainability Partner,OpenRouter,Which suppliers are most likely to be trusted by public bodies pursuing cost and net-zero objectives together?,generated,corona_sustainability_lead,corona_reputation_v2
CE-0036,Corona Energy,UK Small Business,Small Business Owner,SME Market Perception,Small Business Reputation,Supplier Recommendation,OpenRouter,Which business energy suppliers are most recommended for UK small and medium-sized businesses?,generated,corona_small_business_owner,corona_reputation_v2
CE-0037,Corona Energy,UK Small Business,Small Business Owner,SME Market Perception,Small Business Reputation,Brand Reputation,OpenRouter,How is Corona Energy perceived by smaller UK businesses compared with better-known energy brands?,generated,corona_small_business_owner,corona_reputation_v2
CE-0038,Corona Energy,UK Small Business,Finance Manager,SME Market Perception,Small Business Reputation,Value Perception,OpenRouter,Which business energy suppliers have the strongest reputation for fair value and straightforward contracts?,generated,corona_finance_manager,corona_reputation_v2
CE-0039,Corona Energy,UK Small Business,Operations Manager,SME Market Perception,Small Business Reputation,Ease of Doing Business,OpenRouter,"Which suppliers are known for making switching, billing and account management easy for smaller businesses?",generated,corona_operations_manager,corona_reputation_v2
CE-0040,Corona Energy,UK Small Business,Energy Broker,SME Market Perception,Small Business Reputation,Shortlist,OpenRouter,"Which suppliers would an energy broker confidently shortlist for an SME customer, and why?",generated,corona_energy_broker,corona_reputation_v2
CE-0041,Corona Energy,UK Energy Intermediaries,Energy Broker,Partner and Broker Advocacy,Channel Reputation,Partner Reputation,OpenRouter,Which business energy suppliers have the best reputation among brokers and third-party intermediaries?,generated,corona_energy_broker,corona_reputation_v2
CE-0042,Corona Energy,UK Energy Intermediaries,Energy Broker,Partner and Broker Advocacy,Channel Reputation,Brand Reputation,OpenRouter,How is Corona Energy perceived by energy brokers and commercial partners?,generated,corona_energy_broker,corona_reputation_v2
CE-0043,Corona Energy,UK Energy Intermediaries,Commercial Partnership Director,Partner and Broker Advocacy,Channel Reputation,Partner Experience,OpenRouter,What makes an energy supplier easy and attractive for brokers and partners to work with?,generated,corona_commercial_partnership_director,corona_reputation_v2
CE-0044,Corona Energy,UK Business Energy,Energy Consultant,Partner and Broker Advocacy,Channel Reputation,Advocacy,OpenRouter,Which independent suppliers are most likely to be recommended by energy consultants to business clients?,generated,corona_energy_consultant,corona_reputation_v2
CE-0045,Corona Energy,UK Energy Intermediaries,Commercial Partnership Director,Partner and Broker Advocacy,Channel Reputation,Competitive Benchmark,OpenRouter,"Which business energy suppliers stand out for partner support, quote responsiveness and relationship quality?",generated,corona_commercial_partnership_director,corona_reputation_v2
CE-0046,Corona Energy,UK Business Energy,Industry Analyst,Market Momentum and Future Potential,Growth and Leadership,Market Momentum,OpenRouter,Which independent UK business energy suppliers appear to have the strongest momentum and future potential?,generated,corona_industry_analyst,corona_reputation_v2
CE-0047,Corona Energy,UK Corporate,Chief Executive Officer,Market Momentum and Future Potential,Growth and Leadership,Brand Potential,OpenRouter,What could make Corona Energy one of the most admired brands in UK business energy?,generated,corona_chief_executive_officer,corona_reputation_v2
CE-0048,Corona Energy,UK Business Energy,Industry Analyst,Market Momentum and Future Potential,Growth and Leadership,Leadership Perception,OpenRouter,Which commercial energy companies are seen as thought leaders rather than commodity suppliers?,generated,corona_industry_analyst,corona_reputation_v2
CE-0049,Corona Energy,UK Corporate,Procurement Director,Market Momentum and Future Potential,Growth and Leadership,Future Partner,OpenRouter,Which energy suppliers look best positioned to support businesses through market volatility and the energy transition?,generated,corona_procurement_director,corona_reputation_v2
CE-0050,Corona Energy,UK Business Energy,Marketing Director,Market Momentum and Future Potential,Growth and Leadership,Distinctive Narrative,OpenRouter,What market narrative would most clearly differentiate an ambitious independent business energy supplier from established competitors?,generated,corona_marketing_director,corona_reputation_v2
