
persona_id,persona_name,country,persona_type,motivations,concerns,search_behaviour,prompt_id,prompt_category,prompt_type,subject,southampton_mentioned,competitor_university,prompt_text,geo_objective,expected_analysis_dimension,view
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P015,Discovery,Discovery,General University Questions,No,,"If I want a respected UK degree in General University Questions, which universities should I explore first?",Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P016,Persona-Led,Persona,Business,No,,"I am a United Kingdom-based student looking for a UK university with strong reputation, employability and support. Which universities should I consider?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P017,Persona-Led,Persona,Psychology,No,,"I want to study Psychology in the UK and I care about career outcomes, student support and value for money. What universities should be on my list?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P018,Persona-Led,Persona,Mathematics,No,,"As a prospective student from United Kingdom, what UK universities are likely to be a strong fit for Mathematics?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P019,Persona-Led,Persona,Data Science,No,,"I am comparing UK universities for Data Science and want a balance of reputation, graduate prospects and student life. Where should I start?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER001,Prospective Student - UK - General,United Kingdom,Prospective Undergraduate Student,University reputation; Graduate employability; Student experience,Tuition fees; Accommodation costs; Graduate prospects,Compares UK universities; Uses AI assistants; Researches rankings,PER001-P020,Persona-Led,Persona,Engineering,No,,"Which UK universities would suit someone from United Kingdom who wants strong teaching, practical opportunities and a good student community?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P001,Direct Southampton,Evaluation,Computer Science,Yes,,I am thinking about Computer Science at the University of Southampton. What would an AI assistant usually say about its strengths and student experience?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P002,Direct Southampton,Evaluation,AI,Yes,,"How strong is Southampton for AI, especially for reputation, teaching quality and graduate outcomes?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P003,Direct Southampton,Evaluation,Economics,Yes,,Would the University of Southampton be a sensible option for Economics if I care about employability and campus life?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P004,Direct Southampton,Evaluation,Medicine,Yes,,What should I know before applying to Southampton for Medicine?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P005,Direct Southampton,Evaluation,General University Questions,Yes,,"If I asked for honest pros and cons of Southampton for General University Questions, what are the main things that might come up?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P006,Southampton Comparison,Comparison,Business,Yes,Bristol,Should I choose Southampton or Bristol for Business if I want strong career prospects?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P007,Southampton Comparison,Comparison,Psychology,Yes,Manchester,"How does Southampton compare with Manchester for Psychology, including reputation and student support?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P008,Southampton Comparison,Comparison,Mathematics,Yes,Durham,"For Mathematics, which seems more attractive in AI search results: Southampton or Durham?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P009,Southampton Comparison,Comparison,Data Science,Yes,Leeds,Would Southampton or Leeds be a better fit for a student looking at Data Science and good employability?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P010,Southampton Comparison,Comparison,Engineering,Yes,Nottingham,What are the main differences between Southampton and Nottingham for someone considering Engineering?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P011,Discovery,Discovery,Computer Science,No,,"What are the best UK universities for Computer Science, and what makes them stand out?",Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P012,Discovery,Discovery,AI,No,,Which universities should I shortlist in the UK for AI if I care about graduate outcomes?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P013,Discovery,Discovery,Economics,No,,Can you suggest strong UK universities for Economics with a good student experience?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P014,Discovery,Discovery,Medicine,No,,Which UK universities are often recommended for Medicine by AI assistants?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P015,Discovery,Discovery,General University Questions,No,,"If I want a respected UK degree in General University Questions, which universities should I explore first?",Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P016,Persona-Led,Persona,Business,No,,"I am a China-based student looking for a UK university with strong reputation, employability and support. Which universities should I consider?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P017,Persona-Led,Persona,Psychology,No,,"I want to study Psychology in the UK and I care about career outcomes, student support and value for money. What universities should be on my list?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P018,Persona-Led,Persona,Mathematics,No,,"As a prospective student from China, what UK universities are likely to be a strong fit for Mathematics?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P019,Persona-Led,Persona,Data Science,No,,"I am comparing UK universities for Data Science and want a balance of reputation, graduate prospects and student life. Where should I start?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER002,Prospective Student - China - General,China,International Undergraduate Student,Global reputation; International recognition; Career opportunities,Visa requirements; Language support; Student safety,Uses AI for university discovery; Compares rankings; Researches international student support,PER002-P020,Persona-Led,Persona,Engineering,No,,"Which UK universities would suit someone from China who wants strong teaching, practical opportunities and a good student community?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P001,Direct Southampton,Evaluation,Computer Science,Yes,,I am thinking about Computer Science at the University of Southampton. What would an AI assistant usually say about its strengths and student experience?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P002,Direct Southampton,Evaluation,AI,Yes,,"How strong is Southampton for AI, especially for reputation, teaching quality and graduate outcomes?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P003,Direct Southampton,Evaluation,Economics,Yes,,Would the University of Southampton be a sensible option for Economics if I care about employability and campus life?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P004,Direct Southampton,Evaluation,Medicine,Yes,,What should I know before applying to Southampton for Medicine?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P005,Direct Southampton,Evaluation,General University Questions,Yes,,"If I asked for honest pros and cons of Southampton for General University Questions, what are the main things that might come up?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P006,Southampton Comparison,Comparison,Business,Yes,Manchester,Should I choose Southampton or Manchester for Business if I want strong career prospects?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P007,Southampton Comparison,Comparison,Psychology,Yes,Durham,"How does Southampton compare with Durham for Psychology, including reputation and student support?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P008,Southampton Comparison,Comparison,Mathematics,Yes,Leeds,"For Mathematics, which seems more attractive in AI search results: Southampton or Leeds?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P009,Southampton Comparison,Comparison,Data Science,Yes,Nottingham,Would Southampton or Nottingham be a better fit for a student looking at Data Science and good employability?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P010,Southampton Comparison,Comparison,Engineering,Yes,Birmingham,What are the main differences between Southampton and Birmingham for someone considering Engineering?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P011,Discovery,Discovery,Computer Science,No,,"What are the best UK universities for Computer Science, and what makes them stand out?",Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P012,Discovery,Discovery,AI,No,,Which universities should I shortlist in the UK for AI if I care about graduate outcomes?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P013,Discovery,Discovery,Economics,No,,Can you suggest strong UK universities for Economics with a good student experience?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P014,Discovery,Discovery,Medicine,No,,Which UK universities are often recommended for Medicine by AI assistants?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P015,Discovery,Discovery,General University Questions,No,,"If I want a respected UK degree in General University Questions, which universities should I explore first?",Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P016,Persona-Led,Persona,Business,No,,"I am a India-based student looking for a UK university with strong reputation, employability and support. Which universities should I consider?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P017,Persona-Led,Persona,Psychology,No,,"I want to study Psychology in the UK and I care about career outcomes, student support and value for money. What universities should be on my list?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P018,Persona-Led,Persona,Mathematics,No,,"As a prospective student from India, what UK universities are likely to be a strong fit for Mathematics?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P019,Persona-Led,Persona,Data Science,No,,"I am comparing UK universities for Data Science and want a balance of reputation, graduate prospects and student life. Where should I start?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER003,Prospective Student - India - General,India,International Undergraduate Student,Career outcomes; University prestige; Industry links,Tuition costs; Scholarship availability; Visa success,Compares universities; Uses ChatGPT and Gemini; Researches employability,PER003-P020,Persona-Led,Persona,Engineering,No,,"Which UK universities would suit someone from India who wants strong teaching, practical opportunities and a good student community?",Real-world recommendation behaviour,Persona fit; Need alignment,Persona-Led
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P001,Direct Southampton,Evaluation,Engineering,Yes,,How visible is the University of Southampton for research in Engineering when AI tools discuss UK research strengths?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P002,Direct Southampton,Evaluation,Medicine,Yes,,What would make Southampton a credible research partner in Medicine?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P003,Direct Southampton,Evaluation,Computer Science,Yes,,"How strong is Southampton for Computer Science research, including facilities, outputs and collaboration potential?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P004,Direct Southampton,Evaluation,Psychology,Yes,,"If I am exploring UK research groups in Psychology, how likely is Southampton to be recommended?",Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P005,Direct Southampton,Evaluation,Mathematics,Yes,,What are the perceived strengths of Southampton as a research institution for Mathematics?,Representation; Sentiment; Perception,Brand perception; Course/research reputation,Direct Southampton
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P006,Southampton Comparison,Comparison,Economics,Yes,Durham,"For research in Economics, how does Southampton compare with Durham on collaboration potential and reputation?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P007,Southampton Comparison,Comparison,General University Questions,Yes,Leeds,Would Southampton or Leeds appear stronger for General University Questions research in AI-generated recommendations?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P008,Southampton Comparison,Comparison,AI,Yes,Nottingham,Which institution seems better positioned for a AI research partnership: Southampton or Nottingham?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P009,Southampton Comparison,Comparison,Data Science,Yes,Birmingham,How do Southampton and Birmingham compare for research infrastructure and academic visibility in Data Science?,Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P010,Southampton Comparison,Comparison,Physics,Yes,UCL,"If I were seeking a UK collaborator in Physics, should I explore Southampton or UCL first?",Competitive Positioning; Recommendation Preference,Competitor preference; Relative sentiment,Southampton Comparison
PER004,Researcher - UK - General,United Kingdom,Academic Researcher,Research excellence; Funding opportunities; Collaboration potential,Research infrastructure; Grant success; Institutional reputation,Uses AI to identify research leaders; Evaluates research impact; Reviews publications,PER004-P011,Discovery,Discovery,Engineering,No,,Which UK universities are most visible for research excellence in Engineering?,Discoverability; Visibility; Recommendation Rate,Mention rate; Recommendation rate,Discovery
